titulo,texto
Cobrança de Visita Técnica mesmo com problema no roteador,"Meu contrato claro: 389197164

Minha internet estava apresentando problemas de conexão, sendo que conectava porem não mantinha a conexão, sendo que logo caia. Após tentar reiniciar algumas vezes o aparelho roteador e nao apresentar melhor, solicitei visita técnica da Claro, e quando o tecnico veio, ele mesmo constatou problema no roteador, inclusive saiu e trouxe outro roteador novo, nao sendo nenhum tipo de problema causado por mim, e sim por um problema de funcionamento do aparelho. Mesmo assim, ao receber a fatura deste mes, recebi a cobrança de R$90,00 ref a visita tecnica. Ao entrar em contato pela Net Claro pelo TV (protocolo 003204691070457, fui informada que o tecnico informou que nao encontrou problemas, e por isso fui cobrada, e que mesmo apos meu retorno sobre o erro de cobrança, o valor nao permite recurso de analise, nao havendo solução. Acredito que no histórico do processo, pode-se verificar troca do aparelho, e nao por uma decisão minha, sendo assim, solicito estorno do valor cobrado."
PAGUEI E NÃO TIRARAM MEU NOME DO SERASA,"BOM ! ESTAVA COM O NÚMERO SUJO NA CLARO.
NO MÊS 3 DESSE ANO PAGUEI EXATAMENTE TODAS AS DÍVIDAS QUE CONSTAVEM NO MEU SERASA . E ATÉ HOJE NÃO SUMIU. E SEMANA PASSADA APARECEU OUTRA CONTA ATRASADA NO SERASA . ISSO É UMA SACANAGEM . EU JÁ PAGUEI TUDO O QUE DEVO . MEU DEUS DO CÉU EU VOU TIRAR DINHEIRO DA ONDR PRA PAGAR O QUE EU JÁ PAGUEI . TIREI DINHEIRO DA ONDE EU NEM TINHA ."
SIM não aprovisionado,"Comprei um chip da claro e está dando um problema. Na mensagem fala chip não aprovisionado.
Já testei em outro celular e o erro continua. O que fazer?"
"Um lixo, fazem de tudo para você nunca chegar ao atendente","Esse serviço é uma palhaçada, forçam você a ficar ouvindo horas e horas de propagandas e informações inúteis não solicitadas, sendo quase impossivel chegar até um atendente.

Vocês não têm vergonha de fazer isso com seus clientes?"
Cobrança indevida,"Estou a meses tentando falar com a Claro sobre minhas fantasias que estão vindo com o valor errado. Todo mês as fantasias vem errado, eu ligo eles falam que vai arrumar, ai a fatura vem novamente errada. Todo mês eu tenho que passar por isso, e já estou de saco cheio porque eles estão fazendo pouco caso comigo. Tenho a claro por anos e estou atualmente muito decepcionada porque nem os atendentes estão fazendo um bom servico. Falam que já resolveu meu problema e valor continua vindo errado."
CUIDADO COM ESTA OPERADORA CLARO,"boa tarde senhores eu Orlando pereira ,morador da rua João envie lie n 876 CPA 2,venho respeitosamente solicitar de vossa senhoria explicação dos fatos do desligamento da referida linha 65-92823636 que era plano controle no valor de 31,60 mensal ,ocorre que a referida linha foi solicitada portabilidade da operadora claro para a referida operadora OI onde segunda a operadora oi não foi autorizado pela claro a portabilidade que da direito do consumidor escolher sua operadora para a portabilidade ate mesmo na época o mesmo não tinha e não tem nenhum debito com a mesma para não ocorrer os fatos pedido de imediatamente a referida operadora enviou ao cliente uma conta de multa contratual no valor de 303 reais MULTA, que o mesmo não deve por ter o referido plano a mais de 3 anos, também diante disto enviarão junto a fatura num total de 64,99 reais com vencimento dia 09/10/2020 como bom cliente desta operadora solicito a suspenção destas cobranças ilegal e solicito todas as gravação de contatos em sistema da operadora claro que envolve esta linha entregues em cd via carta registrada no endereço de registro da mesma para fins de acionamento na justiça contra a claro por colocar a linha no plano pre pago e cobrar por multa e valore de 31,60 mensal de linha sem funcionar e cobrar a multa de 303 reais como bom cliente solicito cancelamento destas contas enviadas e confirmação junto a este protocolo aberto na ANATEL das confirmação e solicitação de cancelamento de multas e cobranças, solicito também a resposta porque não foi feito a portabilidade e liberação deste numero 65992823636 para a OI pois preciso deste numero habilitado em outra operadora para contatos de familiares e amigos ,habilitação da linha no plano antigo sem multas por erro desta operadora conforme podem verificar nas gravação das mesma solicito diante mão entrar em contato comigo Orlando pereira no telefone 65-984361491 urgente para esclarecimentos do pedido nesta registrasse e cumpra-se urgente os pedidos dos fatos aqui solicitados nesta."
Serviço não prestado,"Tenho uma linha pós paga, ao qual estou tentando usar o dia todo de hoje. Não consigo fazer ligações e não tenho acesso a o meu sinal de Internet móvel, meu boleto está pago em dia e para minha surpresa ao conseguir entrar em contato com a central de atendimento agora no início da noite a operadora está o dia inteiro sem sistema. Diz ela que fez uma atualização mas até o presente momento após 2h nada resolveu e o pior o serviço pago e não prestado pela operadora não haverá desconto desse período sem acesso porque a OPERADORA ESTÁ SEM SISTEMA. E eu como consumidora que me vire né. .afinal meu boleto já está pago e eu que me vire sem o serviço prestado."
Cobrança de janeiro/2020,"Senhores
Tenho o app do Serasa e hoje para minha surpresa indicou que a Claro tem uma oferta para eu quitar uma suposta dívida de fatura vencida em 20/01/2020 no valor de R$114,98, mas negociando direto com a Serasa sai por R$74,74.
Ocorre que desconheço essa dívida, e mesmo que ei estivesse devendo certamente estaria sem sinal.

Solicito esclarecimentos."
Cobrança Indevida,"Em abril cancelei minha conta pós pago com a empresa Claro, antes no período de um ano. Fui informada que a partir do cancelamento não seria descontado nenhum valor, a não ser a multa contratual que chegaria um boleto na minha casa.

Pois bem, em maio foram descontados no meu débito automático um valor de R$ 50,00, quando liguei falaram que era o valor correspondente a multa.

Agora em novembro comecei a receber ligações e mensagens de regularize seu débito.

Liguei no setor de dividas da claro e fui informada que trata-se do valor da multa contratual em meados de maio que não foi paga.

PREZADA CLARO, NUNCA CHEGOU EM MINHA RESIDENCIA O BOLETO PARA O PAGAMENTO DA MULTA, E MUITO MENOS NO MEU E-MAIL, agora passou 6 MESES, vieram a cobrar um valor de R$ 126,00 reais.

A empresa agiu totalmente de [Editado pelo Reclame Aqui] , logo não foi encaminhado nenhum boleto e por passar 6 meses para cobrar o inadimplemento.


Gostaria de realizar o pagamento da multa sem acréscimo de correção monetária e juros."
Cobrança indevida,"Tinha uma assinaturas do claro residencial na qual me dava um desconto num plano móvel,decidir cancelar o plano residencial,liguei na claro,os atendentes me garantiram que o meu plano móvel não ia alterar,alguns dias depois veio a fatura com o mesmo valor,pq os atendentes nao me informaram que eu perderia o desconto ?"
sem solução,"Sou responsável pelas faturas de minha esposa do plano da claro, eu me equivoquei quanto à fatura de Outubro, no valor de R$56,99, pois paguei uma fatura com vencimento em 12/10/2019, no valor de R$31,99, pois só observei data de vencimento, agora paguei fatura atrasada no dia 06/11/2020 no valor real de R$56,99. Já,enviei comprovante para o email que me indicaram, para saber o que será feito sobre o crédito que ficou de R$31,99, mas até agora não obtive resposta. Quanto se trata de atraso no pagamento, ficam toda hora perturbando sobre à fatura que não foi paga, Agora que tenho crédito para receber não se manisfestam."
Não consigo cancelar.,"Eu estou tentando cancelar plano pós pago, mas informam sistema fora do ar. Duas vezes!
Ao trocar de aparelho precisei tranferir meus dados para o nano ship. Fui até um posto perto de casa, mas a atendente recusou minha carteira de identidade. Não tenho tempo para trocar de documento e além disso, já estou usando o aparelho novo (precisei comprar ship novo, outro número de telefone, para conseguir trabalhar). Desconfio de que ""sistema fora do ar"" seja desculpa para me enganar."
Me impuseram duas linhas dependentes sem eu saber,"Em abril de 2019, fui ao Shopping Morumbi comprar um aparelho celular. Ao fina da compra, a vendedora (ambiciosa e com má intenção), me falou que eu havia ganhado dois brindes mas teria que assinar os dois documentos. Em minha ""ingenuidade, e na credibilidade da vendedora que já que ela havia falado que eram brindes, assinei. Na ocasião, pensei até que fosse um caneta e/ou uma caneca, mas nunca imaginei naquele momento que se tratava de aquisição de duas linhas dependentes.
Para minha surpresa, quando a conta chegou no mês de mais de 2019, veio a cobrança das ditas duas linhas dependentes. Fiz reclamação na operadora claro, a única reposta que eu havia confirmado a compra.
EM Setembro de 2019, reclamei novamente que as duas linhas ainda vinha sendo cobradas. Falei novamente que as linhas ainda estavam lacradas, até poque só tenho um aparelho. Indaguei a operadora o que eu iria fazer com três linhas, já que eu possui somente um aparelho. Em uma das ligações, tive a pachorra de ouvir se eu não teria alguém para eu dar a linha. Neste ínterim, a operadora me ofereceu um desconto, perguntei se as linhas seriam cancelada. Com muitas dores de cabeça e aborrecida com o comportamento que essa operadora me enganou. Pois me sinto [Editado pelo Reclame Aqui], prejudicada e enganada,agora em Outubro recebo novamente a cobrança das duas linhas dependente."
retirar equipameto,"vários protocolos de retirada de equipamento.
954202788916268
954202784011270
954202782128183
954202783951894
954202821693361
Perdi conta de agendamento para retirar equipamento. quem sabe agora resolvem levar este equipamento. cod. 954/001050609"
Claro não quer desbloquear meu chip,"Eu acidentalmente bloqueei meu número sem querer. Estou tentando ligar,para eles ninguém me retorna, ou procurar resolver meu caso não irei pagar por um chip que está bloqueado e que não estou acessando internet, e nem ligações por que eles não querem desbloquear. O telefone para eles entram em contato é 21966054088"
Acionamento do Chip,"Realizei o acordo as parcelas do meu plano da claro desde do dia 04/11
A claro havia bloqueado o meu chip por esse motivo, assim que realizei o pagamento entrei em contato e informei, me disseram que assim que o pagamento fosse constado, o chip seria reativado.
Hoje já 09/11 e até o momento o meu chip não está funcionando. entrei em contato na central de atendimento ás 14:30, onde a atendente Cassia informou que dentro de 1 hora o meu chip já estaria funcionando o que não aconteceu.
Em fim preciso do telefone para trabalho e até o momento a claro não resolveu o problema."
Foi feita uma venda casada de internet e tv para meu pai idoso.,"Meu pai, um senhor idoso foi enrolado pela telefonista para comprar um combo de internet e tv, a vendedora justificou que não poderia vender só a internet. Sendo que ele queria cancelar o telefone fixo. A mesma enrolou e fez meu pai comprar o combo de internet e tv. E pagar mais caro, do que pagavamos antes. Ele ligou muitas vezes para cancelar. Ainda assim o telefone fixo demorou para ser cancelado, e a tv só pode ser cancelada se pagar a multa de fidelidade, sendo que ele não foi informado disso. Protocolo de atendimento 3499579409."
